UserId	Rating	Title
15	1	Super 8
15	2	TRON: Legacy
15	1	The Hunger Games
15	3	Whiplash
15	4	Schindler's List
15	0.5	Captain America: The Winter Soldier
15	1	Star Wars: Episode V - The Empire Strikes Back
15	2.5	Shutter Island
15	3.5	Forrest Gump
15	2.5	The Dark Knight
15	3	Rise of the Planet of the Apes
15	4.5	The Silence of the Lambs
15	2	The Social Network
15	3.5	Django Unchained
15	3.5	The Matrix
15	4.5	The Shawshank Redemption
15	2	The Fighter
15	3.5	The Wolf of Wall Street
16	4.5	The Matrix
16	1.5	Thor
16	3.5	The Lord of the Rings: The Fellowship of the Ring
16	4	Star Wars: Episode V - The Empire Strikes Back
16	2.5	Iron Man 2
16	4	The Hobbit: An Unexpected Journey
16	4.5	Terminator 2: Judgment Day
16	3	How to Train Your Dragon
16	3	The Hunger Games
16	4.5	Interstellar
16	5	Guardians of the Galaxy
16	5	Pulp Fiction
16	4.5	Harry Potter and the Deathly Hallows: Part 1
16	4.5	The Wolf of Wall Street
16	4	Life of Pi
16	4.5	Kick-Ass
16	4	The Godfather
16	5	Whiplash
16	2.5	Jurassic Park
16	3.5	Raiders of the Lost Ark
16	4.5	The Dark Knight
16	4	The Cabin in the Woods
16	4.5	The Imitation Game
16	1	Despicable Me
16	4	Shutter Island
16	2	The Avengers
16	4	Schindler's List
16	4	Toy Story 3
16	4	Drive
16	5	Mad Max: Fury Road
16	4	The Dark Knight Rises
16	4	Harry Potter and the Deathly Hallows: Part 2
16	4.5	The Grand Budapest Hotel
16	5	Django Unchained
17	4.5	How to Train Your Dragon
17	4.5	Captain America: The First Avenger
17	4	Raiders of the Lost Ark
17	5	Toy Story
17	3	Source Code
17	3.5	TRON: Legacy
17	5	The Dark Knight Rises
17	5	Star Wars: Episode VI - Return of the Jedi
17	3.5	Mission Impossible: The Ghost Protocol
17	4.5	Guardians of the Galaxy
17	4	Megamind
17	4	The Hunger Games
17	2.5	Despicable Me
17	4	The Avengers
17	3.5	Limitless
17	4	The Amazing Spider-Man
17	4	The Hobbit: An Unexpected Journey
17	4	Moneyball
